system:index,cloud_percentage,date_yyyymmdd,ee_image_id,hydrological_year,image_date,image_entry,mgrs_tile,spacecraft,system_index,ee_image_asset
20231015T110011_20231015T110621_T30SWF,19.306846,20231015,20231015T110011_20231015T110621_T30SWF,2023-2024,2023-10-15,2023-10-15 | 20231015T110011_20231015T110621_T30SWF,30SWF,Sentinel-2A,20231015T110011_20231015T110621_T30SWF,COPERNICUS/S2_SR_HARMONIZED/20231015T110011_20231015T110621_T30SWF
20231020T110009_20231020T110701_T30SWF,1.593244,20231020,20231020T110009_20231020T110701_T30SWF,2023-2024,2023-10-20,2023-10-20 | 20231020T110009_20231020T110701_T30SWF,30SWF,Sentinel-2B,20231020T110009_20231020T110701_T30SWF,COPERNICUS/S2_SR_HARMONIZED/20231020T110009_20231020T110701_T30SWF
20231022T105101_20231022T105339_T30SWF,17.714821,20231022,20231022T105101_20231022T105339_T30SWF,2023-2024,2023-10-22,2023-10-22 | 20231022T105101_20231022T105339_T30SWF,30SWF,Sentinel-2A,20231022T105101_20231022T105339_T30SWF,COPERNICUS/S2_SR_HARMONIZED/20231022T105101_20231022T105339_T30SWF
20231101T105201_20231101T105437_T30SXF,0.800259,20231101,20231101T105201_20231101T105437_T30SXF,2023-2024,2023-11-01,2023-11-01 | 20231101T105201_20231101T105437_T30SXF,30SXF,Sentinel-2A,20231101T105201_20231101T105437_T30SXF,COPERNICUS/S2_SR_HARMONIZED/20231101T105201_20231101T105437_T30SXF
20231101T105201_20231101T105437_T30SWF,0.172947,20231101,20231101T105201_20231101T105437_T30SWF,2023-2024,2023-11-01,2023-11-01 | 20231101T105201_20231101T105437_T30SWF,30SWF,Sentinel-2A,20231101T105201_20231101T105437_T30SWF,COPERNICUS/S2_SR_HARMONIZED/20231101T105201_20231101T105437_T30SWF
20231104T110221_20231104T110828_T30SWF,18.949533,20231104,20231104T110221_20231104T110828_T30SWF,2023-2024,2023-11-04,2023-11-04 | 20231104T110221_20231104T110828_T30SWF,30SWF,Sentinel-2A,20231104T110221_20231104T110828_T30SWF,COPERNICUS/S2_SR_HARMONIZED/20231104T110221_20231104T110828_T30SWF
20231111T105301_20231111T105527_T30SXF,14.844592,20231111,20231111T105301_20231111T105527_T30SXF,2023-2024,2023-11-11,2023-11-11 | 20231111T105301_20231111T105527_T30SXF,30SXF,Sentinel-2A,20231111T105301_20231111T105527_T30SXF,COPERNICUS/S2_SR_HARMONIZED/20231111T105301_20231111T105527_T30SXF
20231111T105301_20231111T105527_T30SWF,10.152256,20231111,20231111T105301_20231111T105527_T30SWF,2023-2024,2023-11-11,2023-11-11 | 20231111T105301_20231111T105527_T30SWF,30SWF,Sentinel-2A,20231111T105301_20231111T105527_T30SWF,COPERNICUS/S2_SR_HARMONIZED/20231111T105301_20231111T105527_T30SWF
20231114T110311_20231114T110922_T30SWG,7.087902,20231114,20231114T110311_20231114T110922_T30SWG,2023-2024,2023-11-14,2023-11-14 | 20231114T110311_20231114T110922_T30SWG,30SWG,Sentinel-2A,20231114T110311_20231114T110922_T30SWG,COPERNICUS/S2_SR_HARMONIZED/20231114T110311_20231114T110922_T30SWG
20231114T110311_20231114T110922_T30SWF,11.806859,20231114,20231114T110311_20231114T110922_T30SWF,2023-2024,2023-11-14,2023-11-14 | 20231114T110311_20231114T110922_T30SWF,30SWF,Sentinel-2A,20231114T110311_20231114T110922_T30SWF,COPERNICUS/S2_SR_HARMONIZED/20231114T110311_20231114T110922_T30SWF
20231119T110249_20231119T110243_T30SWG,0.001085,20231119,20231119T110249_20231119T110243_T30SWG,2023-2024,2023-11-19,2023-11-19 | 20231119T110249_20231119T110243_T30SWG,30SWG,Sentinel-2B,20231119T110249_20231119T110243_T30SWG,COPERNICUS/S2_SR_HARMONIZED/20231119T110249_20231119T110243_T30SWG
20231119T110249_20231119T110243_T30SWF,10.018693,20231119,20231119T110249_20231119T110243_T30SWF,2023-2024,2023-11-19,2023-11-19 | 20231119T110249_20231119T110243_T30SWF,30SWF,Sentinel-2B,20231119T110249_20231119T110243_T30SWF,COPERNICUS/S2_SR_HARMONIZED/20231119T110249_20231119T110243_T30SWF
20231121T105341_20231121T105610_T30SXF,13.738674,20231121,20231121T105341_20231121T105610_T30SXF,2023-2024,2023-11-21,2023-11-21 | 20231121T105341_20231121T105610_T30SXF,30SXF,Sentinel-2A,20231121T105341_20231121T105610_T30SXF,COPERNICUS/S2_SR_HARMONIZED/20231121T105341_20231121T105610_T30SXF
20231121T105341_20231121T105610_T30SWF,8.033548,20231121,20231121T105341_20231121T105610_T30SWF,2023-2024,2023-11-21,2023-11-21 | 20231121T105341_20231121T105610_T30SWF,30SWF,Sentinel-2A,20231121T105341_20231121T105610_T30SWF,COPERNICUS/S2_SR_HARMONIZED/20231121T105341_20231121T105610_T30SWF
20231124T110351_20231124T110957_T30SWG,0.008402,20231124,20231124T110351_20231124T110957_T30SWG,2023-2024,2023-11-24,2023-11-24 | 20231124T110351_20231124T110957_T30SWG,30SWG,Sentinel-2A,20231124T110351_20231124T110957_T30SWG,COPERNICUS/S2_SR_HARMONIZED/20231124T110351_20231124T110957_T30SWG
20231124T110351_20231124T110957_T30SWF,0.024261,20231124,20231124T110351_20231124T110957_T30SWF,2023-2024,2023-11-24,2023-11-24 | 20231124T110351_20231124T110957_T30SWF,30SWF,Sentinel-2A,20231124T110351_20231124T110957_T30SWF,COPERNICUS/S2_SR_HARMONIZED/20231124T110351_20231124T110957_T30SWF
20231126T105309_20231126T105303_T30SWG,2.747274,20231126,20231126T105309_20231126T105303_T30SWG,2023-2024,2023-11-26,2023-11-26 | 20231126T105309_20231126T105303_T30SWG,30SWG,Sentinel-2B,20231126T105309_20231126T105303_T30SWG,COPERNICUS/S2_SR_HARMONIZED/20231126T105309_20231126T105303_T30SWG
20231126T105309_20231126T105303_T30SXF,17.28503,20231126,20231126T105309_20231126T105303_T30SXF,2023-2024,2023-11-26,2023-11-26 | 20231126T105309_20231126T105303_T30SXF,30SXF,Sentinel-2B,20231126T105309_20231126T105303_T30SXF,COPERNICUS/S2_SR_HARMONIZED/20231126T105309_20231126T105303_T30SXF
20231126T105309_20231126T105303_T30SWF,17.443325,20231126,20231126T105309_20231126T105303_T30SWF,2023-2024,2023-11-26,2023-11-26 | 20231126T105309_20231126T105303_T30SWF,30SWF,Sentinel-2B,20231126T105309_20231126T105303_T30SWF,COPERNICUS/S2_SR_HARMONIZED/20231126T105309_20231126T105303_T30SWF
20231211T105431_20231211T105433_T30SWG,11.9284,20231211,20231211T105431_20231211T105433_T30SWG,2023-2024,2023-12-11,2023-12-11 | 20231211T105431_20231211T105433_T30SWG,30SWG,Sentinel-2A,20231211T105431_20231211T105433_T30SWG,COPERNICUS/S2_SR_HARMONIZED/20231211T105431_20231211T105433_T30SWG
20231211T105431_20231211T105433_T30SXF,19.12401,20231211,20231211T105431_20231211T105433_T30SXF,2023-2024,2023-12-11,2023-12-11 | 20231211T105431_20231211T105433_T30SXF,30SXF,Sentinel-2A,20231211T105431_20231211T105433_T30SXF,COPERNICUS/S2_SR_HARMONIZED/20231211T105431_20231211T105433_T30SXF
20231214T110441_20231214T110444_T30SWG,0.364784,20231214,20231214T110441_20231214T110444_T30SWG,2023-2024,2023-12-14,2023-12-14 | 20231214T110441_20231214T110444_T30SWG,30SWG,Sentinel-2A,20231214T110441_20231214T110444_T30SWG,COPERNICUS/S2_SR_HARMONIZED/20231214T110441_20231214T110444_T30SWG
20231214T110441_20231214T110444_T30SWF,0.231571,20231214,20231214T110441_20231214T110444_T30SWF,2023-2024,2023-12-14,2023-12-14 | 20231214T110441_20231214T110444_T30SWF,30SWF,Sentinel-2A,20231214T110441_20231214T110444_T30SWF,COPERNICUS/S2_SR_HARMONIZED/20231214T110441_20231214T110444_T30SWF
20231216T105349_20231216T105350_T30SXG,0.007631,20231216,20231216T105349_20231216T105350_T30SXG,2023-2024,2023-12-16,2023-12-16 | 20231216T105349_20231216T105350_T30SXG,30SXG,Sentinel-2B,20231216T105349_20231216T105350_T30SXG,COPERNICUS/S2_SR_HARMONIZED/20231216T105349_20231216T105350_T30SXG
20231216T105349_20231216T105350_T30SWG,0.82929,20231216,20231216T105349_20231216T105350_T30SWG,2023-2024,2023-12-16,2023-12-16 | 20231216T105349_20231216T105350_T30SWG,30SWG,Sentinel-2B,20231216T105349_20231216T105350_T30SWG,COPERNICUS/S2_SR_HARMONIZED/20231216T105349_20231216T105350_T30SWG
