system:index,cloud_percentage,date_yyyymmdd,ee_image_id,hydrological_year,image_date,image_entry,mgrs_tile,product_name,product_status,product_type,spacecraft,system_index,visualization_method,ee_image_asset
22,0.007996,20160201,20160201T105252_20160201T105615_T30SXG,2015-2016,2016-02-01,2016-02-01 | 20160201T105252_20160201T105615_T30SXG,30SXG,NDDI_20160201_20160201T105252_20160201T105615_T30SXG,Indexed for Python dashboard,NDDI,Sentinel-2A,20160201T105252_20160201T105615_T30SXG,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160201T105252_20160201T105615_T30SXG
23,0.007996,20160201,20160201T105252_20160201T105615_T30SXG,2015-2016,2016-02-01,2016-02-01 | 20160201T105252_20160201T105615_T30SXG,30SXG,RF_Risk_Map_20160201_20160201T105252_20160201T105615_T30SXG,Indexed for Python dashboard,RF Risk Map,Sentinel-2A,20160201T105252_20160201T105615_T30SXG,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160201T105252_20160201T105615_T30SXG
24,0.023049,20160201,20160201T105252_20160201T105615_T30SWG,2015-2016,2016-02-01,2016-02-01 | 20160201T105252_20160201T105615_T30SWG,30SWG,NDVI_20160201_20160201T105252_20160201T105615_T30SWG,Indexed for Python dashboard,NDVI,Sentinel-2A,20160201T105252_20160201T105615_T30SWG,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160201T105252_20160201T105615_T30SWG
25,0.023049,20160201,20160201T105252_20160201T105615_T30SWG,2015-2016,2016-02-01,2016-02-01 | 20160201T105252_20160201T105615_T30SWG,30SWG,NDWI_20160201_20160201T105252_20160201T105615_T30SWG,Indexed for Python dashboard,NDWI,Sentinel-2A,20160201T105252_20160201T105615_T30SWG,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160201T105252_20160201T105615_T30SWG
26,0.023049,20160201,20160201T105252_20160201T105615_T30SWG,2015-2016,2016-02-01,2016-02-01 | 20160201T105252_20160201T105615_T30SWG,30SWG,NDDI_20160201_20160201T105252_20160201T105615_T30SWG,Indexed for Python dashboard,NDDI,Sentinel-2A,20160201T105252_20160201T105615_T30SWG,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160201T105252_20160201T105615_T30SWG
27,0.023049,20160201,20160201T105252_20160201T105615_T30SWG,2015-2016,2016-02-01,2016-02-01 | 20160201T105252_20160201T105615_T30SWG,30SWG,RF_Risk_Map_20160201_20160201T105252_20160201T105615_T30SWG,Indexed for Python dashboard,RF Risk Map,Sentinel-2A,20160201T105252_20160201T105615_T30SWG,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160201T105252_20160201T105615_T30SWG
28,0.088633,20160201,20160201T105252_20160201T105615_T30SXF,2015-2016,2016-02-01,2016-02-01 | 20160201T105252_20160201T105615_T30SXF,30SXF,NDVI_20160201_20160201T105252_20160201T105615_T30SXF,Indexed for Python dashboard,NDVI,Sentinel-2A,20160201T105252_20160201T105615_T30SXF,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160201T105252_20160201T105615_T30SXF
29,0.088633,20160201,20160201T105252_20160201T105615_T30SXF,2015-2016,2016-02-01,2016-02-01 | 20160201T105252_20160201T105615_T30SXF,30SXF,NDWI_20160201_20160201T105252_20160201T105615_T30SXF,Indexed for Python dashboard,NDWI,Sentinel-2A,20160201T105252_20160201T105615_T30SXF,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160201T105252_20160201T105615_T30SXF
30,0.088633,20160201,20160201T105252_20160201T105615_T30SXF,2015-2016,2016-02-01,2016-02-01 | 20160201T105252_20160201T105615_T30SXF,30SXF,NDDI_20160201_20160201T105252_20160201T105615_T30SXF,Indexed for Python dashboard,NDDI,Sentinel-2A,20160201T105252_20160201T105615_T30SXF,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160201T105252_20160201T105615_T30SXF
31,0.088633,20160201,20160201T105252_20160201T105615_T30SXF,2015-2016,2016-02-01,2016-02-01 | 20160201T105252_20160201T105615_T30SXF,30SXF,RF_Risk_Map_20160201_20160201T105252_20160201T105615_T30SXF,Indexed for Python dashboard,RF Risk Map,Sentinel-2A,20160201T105252_20160201T105615_T30SXF,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160201T105252_20160201T105615_T30SXF
32,1.862665,20160302,20160302T105042_20160302T110021_T30SXG,2015-2016,2016-03-02,2016-03-02 | 20160302T105042_20160302T110021_T30SXG,30SXG,NDVI_20160302_20160302T105042_20160302T110021_T30SXG,Indexed for Python dashboard,NDVI,Sentinel-2A,20160302T105042_20160302T110021_T30SXG,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160302T105042_20160302T110021_T30SXG
33,1.862665,20160302,20160302T105042_20160302T110021_T30SXG,2015-2016,2016-03-02,2016-03-02 | 20160302T105042_20160302T110021_T30SXG,30SXG,NDWI_20160302_20160302T105042_20160302T110021_T30SXG,Indexed for Python dashboard,NDWI,Sentinel-2A,20160302T105042_20160302T110021_T30SXG,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160302T105042_20160302T110021_T30SXG
34,1.862665,20160302,20160302T105042_20160302T110021_T30SXG,2015-2016,2016-03-02,2016-03-02 | 20160302T105042_20160302T110021_T30SXG,30SXG,NDDI_20160302_20160302T105042_20160302T110021_T30SXG,Indexed for Python dashboard,NDDI,Sentinel-2A,20160302T105042_20160302T110021_T30SXG,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160302T105042_20160302T110021_T30SXG
35,1.862665,20160302,20160302T105042_20160302T110021_T30SXG,2015-2016,2016-03-02,2016-03-02 | 20160302T105042_20160302T110021_T30SXG,30SXG,RF_Risk_Map_20160302_20160302T105042_20160302T110021_T30SXG,Indexed for Python dashboard,RF Risk Map,Sentinel-2A,20160302T105042_20160302T110021_T30SXG,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160302T105042_20160302T110021_T30SXG
36,0.162455,20160302,20160302T105042_20160302T110021_T30SXF,2015-2016,2016-03-02,2016-03-02 | 20160302T105042_20160302T110021_T30SXF,30SXF,NDVI_20160302_20160302T105042_20160302T110021_T30SXF,Indexed for Python dashboard,NDVI,Sentinel-2A,20160302T105042_20160302T110021_T30SXF,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160302T105042_20160302T110021_T30SXF
37,0.162455,20160302,20160302T105042_20160302T110021_T30SXF,2015-2016,2016-03-02,2016-03-02 | 20160302T105042_20160302T110021_T30SXF,30SXF,NDWI_20160302_20160302T105042_20160302T110021_T30SXF,Indexed for Python dashboard,NDWI,Sentinel-2A,20160302T105042_20160302T110021_T30SXF,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160302T105042_20160302T110021_T30SXF
38,0.162455,20160302,20160302T105042_20160302T110021_T30SXF,2015-2016,2016-03-02,2016-03-02 | 20160302T105042_20160302T110021_T30SXF,30SXF,NDDI_20160302_20160302T105042_20160302T110021_T30SXF,Indexed for Python dashboard,NDDI,Sentinel-2A,20160302T105042_20160302T110021_T30SXF,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160302T105042_20160302T110021_T30SXF
39,0.162455,20160302,20160302T105042_20160302T110021_T30SXF,2015-2016,2016-03-02,2016-03-02 | 20160302T105042_20160302T110021_T30SXF,30SXF,RF_Risk_Map_20160302_20160302T105042_20160302T110021_T30SXF,Indexed for Python dashboard,RF Risk Map,Sentinel-2A,20160302T105042_20160302T110021_T30SXF,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160302T105042_20160302T110021_T30SXF
40,0.027379,20160302,20160302T105042_20160302T110021_T30SWF,2015-2016,2016-03-02,2016-03-02 | 20160302T105042_20160302T110021_T30SWF,30SWF,NDVI_20160302_20160302T105042_20160302T110021_T30SWF,Indexed for Python dashboard,NDVI,Sentinel-2A,20160302T105042_20160302T110021_T30SWF,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160302T105042_20160302T110021_T30SWF
41,0.027379,20160302,20160302T105042_20160302T110021_T30SWF,2015-2016,2016-03-02,2016-03-02 | 20160302T105042_20160302T110021_T30SWF,30SWF,NDWI_20160302_20160302T105042_20160302T110021_T30SWF,Indexed for Python dashboard,NDWI,Sentinel-2A,20160302T105042_20160302T110021_T30SWF,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160302T105042_20160302T110021_T30SWF
42,0.027379,20160302,20160302T105042_20160302T110021_T30SWF,2015-2016,2016-03-02,2016-03-02 | 20160302T105042_20160302T110021_T30SWF,30SWF,NDDI_20160302_20160302T105042_20160302T110021_T30SWF,Indexed for Python dashboard,NDDI,Sentinel-2A,20160302T105042_20160302T110021_T30SWF,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160302T105042_20160302T110021_T30SWF
43,0.027379,20160302,20160302T105042_20160302T110021_T30SWF,2015-2016,2016-03-02,2016-03-02 | 20160302T105042_20160302T110021_T30SWF,30SWF,RF_Risk_Map_20160302_20160302T105042_20160302T110021_T30SWF,Indexed for Python dashboard,RF Risk Map,Sentinel-2A,20160302T105042_20160302T110021_T30SWF,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160302T105042_20160302T110021_T30SWF
44,0.623593,20160305,20160305T110042_20160305T110109_T30SWF,2015-2016,2016-03-05,2016-03-05 | 20160305T110042_20160305T110109_T30SWF,30SWF,NDVI_20160305_20160305T110042_20160305T110109_T30SWF,Indexed for Python dashboard,NDVI,Sentinel-2A,20160305T110042_20160305T110109_T30SWF,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160305T110042_20160305T110109_T30SWF
45,0.623593,20160305,20160305T110042_20160305T110109_T30SWF,2015-2016,2016-03-05,2016-03-05 | 20160305T110042_20160305T110109_T30SWF,30SWF,NDWI_20160305_20160305T110042_20160305T110109_T30SWF,Indexed for Python dashboard,NDWI,Sentinel-2A,20160305T110042_20160305T110109_T30SWF,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160305T110042_20160305T110109_T30SWF
46,0.623593,20160305,20160305T110042_20160305T110109_T30SWF,2015-2016,2016-03-05,2016-03-05 | 20160305T110042_20160305T110109_T30SWF,30SWF,NDDI_20160305_20160305T110042_20160305T110109_T30SWF,Indexed for Python dashboard,NDDI,Sentinel-2A,20160305T110042_20160305T110109_T30SWF,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160305T110042_20160305T110109_T30SWF
47,0.623593,20160305,20160305T110042_20160305T110109_T30SWF,2015-2016,2016-03-05,2016-03-05 | 20160305T110042_20160305T110109_T30SWF,30SWF,RF_Risk_Map_20160305_20160305T110042_20160305T110109_T30SWF,Indexed for Python dashboard,RF Risk Map,Sentinel-2A,20160305T110042_20160305T110109_T30SWF,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160305T110042_20160305T110109_T30SWF
